"Level","No Syntax Error","Syntax Error"
"0.0", 73, 13
"0.1", 160, 47
"0.2", 90, 8
"0.3", 105, 9
"1.1", 153, 77
"1.2", 141, 52
"1.3", 97, 33
"2.1", 61, 74
"2.2", 45, 6
"2.3", 64, 23
"3.1", 56, 16
"3.2", 2, 1
"3.3", 4, 0
